11.165,15.626,67.983,75.195,NaN,83.035,18.873,11.673,47.488,NaN,63.829,NaN,NaN,NaN,57.119,88.286,61.567,NaN,NaN,NaN,18.127,NaN,50.729,NaN,NaN,NaN,63.058,NaN,83.383,NaN,NaN,NaN,21.661,45.594,71.759,NaN,NaN,60.664,NaN,NaN,84.354,58.669,36.488,80.026,NaN,36.785,17.999,61.618,59.893,46.366,25.934
11.459,16.138,68.116,75.628,NaN,83.291,19.292,11.803,47.735,NaN,64.089,NaN,NaN,NaN,58.965,88.925,61.72,NaN,NaN,NaN,18.369,NaN,52.304,NaN,NaN,NaN,63.266,NaN,89.286,NaN,NaN,NaN,22.333,46.092,73.924,NaN,NaN,62.092,NaN,NaN,84.835,59.636,36.601,80.227,NaN,37.295,18.235,61.763,60.037,46.899,29.305
11.603,16.429,68.366,75.793,NaN,85.367,20.999,12.33,47.986,NaN,64.858,NaN,NaN,NaN,59.197,89.063,61.993,NaN,NaN,NaN,18.595,NaN,52.758,NaN,NaN,NaN,63.56,NaN,89.559,NaN,NaN,NaN,22.506,46.264,74.291,NaN,NaN,63.17,NaN,NaN,90.455,59.858,36.887,82.824,NaN,37.666,18.735,62.862,62.233,47.588,29.588
11.989,16.67,72.723,76.003,NaN,85.683,45.34,12.637,48.636,NaN,65.626,NaN,NaN,NaN,77.166,89.361,65.328,NaN,NaN,NaN,18.726,NaN,52.858,NaN,NaN,NaN,63.889,NaN,NaN,NaN,NaN,NaN,23.622,46.898,74.585,NaN,NaN,63.866,NaN,NaN,90.836,62.27,40.407,83.351,NaN,38.952,19.232,62.986,62.395,47.729,31.825
12.354,16.891,73.86,76.125,NaN,85.82,76.02,12.959,49.255,NaN,66.529,NaN,NaN,NaN,78.357,89.523,65.465,NaN,NaN,NaN,19.072,NaN,54.037,NaN,NaN,NaN,64.43,NaN,NaN,NaN,NaN,NaN,24.008,54.483,75.198,NaN,NaN,64.594,NaN,NaN,91.29,62.652,42.2,83.857,NaN,39.272,19.501,63.402,63.132,49.425,32.832
12.593,17.159,74.604,77.494,NaN,86.82,76.431,13.571,50.029,NaN,67.785,NaN,NaN,NaN,78.489,89.718,85.398,NaN,NaN,NaN,19.304,NaN,54.453,NaN,NaN,NaN,64.555,NaN,NaN,NaN,NaN,NaN,24.099,54.629,75.568,NaN,NaN,64.927,NaN,NaN,NaN,74.535,42.464,84.255,NaN,39.434,19.874,63.852,76.062,49.533,33.123
12.838,18.038,74.757,77.802,NaN,86.928,77.193,13.801,50.832,NaN,67.93,NaN,NaN,NaN,78.561,91.088,85.791,NaN,NaN,NaN,19.572,NaN,55.267,NaN,NaN,NaN,64.726,NaN,NaN,NaN,NaN,NaN,25.76,60.357,75.897,NaN,NaN,65.257,NaN,NaN,NaN,74.66,46.594,84.323,NaN,40.465,26.364,63.966,79.031,51.124,33.923
13.301,18.273,74.849,78.062,NaN,87.127,77.59,14.066,51.661,NaN,68.432,NaN,NaN,NaN,78.821,91.328,87.654,NaN,NaN,NaN,19.772,NaN,55.736,NaN,NaN,NaN,64.902,NaN,NaN,NaN,NaN,NaN,26.122,61.382,76.39,NaN,NaN,65.365,NaN,NaN,NaN,74.799,48.595,84.45,NaN,40.73,27.161,64.119,79.156,54.064,39.089
13.572,18.504,75.666,78.326,NaN,87.348,77.818,14.463,53.153,NaN,69.136,NaN,NaN,NaN,79.189,91.886,91.09,NaN,NaN,NaN,19.931,NaN,56.801,NaN,NaN,NaN,65.059,NaN,NaN,NaN,NaN,NaN,59.924,62.327,76.83,NaN,NaN,65.588,NaN,NaN,NaN,75.37,49.399,88.526,NaN,41.388,27.361,64.454,79.729,54.301,39.327
13.698,18.62,76.019,78.627,NaN,87.858,77.932,15.036,53.326,NaN,72.585,NaN,NaN,NaN,81.891,NaN,91.36,NaN,NaN,NaN,20.291,NaN,57.195,NaN,NaN,NaN,65.359,NaN,NaN,NaN,NaN,NaN,60.155,62.463,76.966,NaN,NaN,65.996,NaN,NaN,NaN,84.496,50.025,89.262,NaN,43.469,27.607,64.727,80.084,55.298,39.558
