50.106,51.825,42.648,52.945,43.207,47.865,50.111,72.252,57.358,50.088,57.356,57.388,51.843,51.849,53.174,46.749,50.083,45.799,73.547,55.094,38.27,54.467,57.371,NaN,42.794,32.684
50.47,52.945,42.784,53.185,45.589,50.729,50.441,74.092,58.853,50.467,58.856,58.727,52.185,52.954,55.108,47.251,51.962,46.749,74.587,56.786,39.679,55.586,58.235,NaN,43.592,32.839
52.495,53.184,42.93,54.493,46.307,50.846,52.489,74.215,59.608,52.489,59.167,59.311,55.705,54.478,56.787,50.668,52.31,47.175,NaN,57.367,40.124,56.641,59.32,NaN,44.046,34.066
53.169,54.485,45.084,55.564,46.75,54.478,54.453,75.605,62.132,53.169,59.33,59.555,56.307,56.647,57.375,50.757,52.838,48.63,NaN,59.324,40.472,57.372,59.517,NaN,45.527,34.769
54.467,55.55,45.628,57.35,47.201,55.014,55.446,76.565,62.516,54.454,59.559,59.668,57.387,56.769,58.855,52.009,53.012,48.934,NaN,59.53,41.717,58.854,59.655,NaN,45.771,38.343
55.472,56.629,45.748,58.766,49.887,55.584,55.558,77.412,63.308,55.473,59.667,60.815,58.885,58.639,59.351,52.159,54.027,50.64,NaN,59.669,42.625,59.306,61.6,NaN,46.767,38.643
56.2,57.334,46.752,58.846,50.808,56.188,56.202,NaN,66.012,56.205,62.13,63.334,59.328,58.888,59.534,52.833,54.506,50.809,NaN,59.838,42.766,59.526,62.571,NaN,47.204,39.204
57.359,58.757,47.192,59.521,51.866,57.375,57.361,NaN,68.413,57.348,62.486,65.614,59.523,59.517,59.684,54.489,56.627,52.969,NaN,62.523,42.883,59.666,63.587,NaN,47.854,39.911
58.718,59.308,49.814,62.117,52.853,58.831,58.755,NaN,69.534,58.807,62.563,66.429,59.679,59.668,60.495,55.589,56.786,54.526,NaN,63.584,43.288,60.546,65.956,NaN,50.675,40.12
58.805,59.507,50.123,62.525,52.998,59.65,59.161,NaN,71.834,59.508,63.326,69.535,62.557,60.474,62.528,56.772,57.375,55.094,NaN,67.436,43.465,60.828,66.907,NaN,51.165,41.674
59.168,62.105,50.84,63.306,53.183,62.146,59.511,NaN,74.376,59.653,66.015,69.911,63.359,62.129,63.586,58.774,58.839,55.605,NaN,69.534,43.987,61.186,71.836,NaN,51.824,41.793
59.511,62.48,51.574,63.545,54.488,62.533,59.651,NaN,75.629,60.345,68.479,71.271,63.562,62.544,67.452,58.874,59.118,56.27,NaN,71.664,44.475,62.527,72.246,NaN,53.067,42.771
59.668,63.293,52.009,65.934,55.585,63.324,60.346,NaN,78.188,62.114,69.533,71.865,67.481,63.345,69.557,59.154,59.316,56.787,NaN,71.842,45.894,62.984,74.146,NaN,54.066,43.007
