6.6259,216.84,60.647,215.88,104.41,427.75,424.89,20.431,NaN,268.16,317.54,322.91,367.47,339.51,NaN,53.264,93.381,109.75,211.39,195.85,NaN,346.81,316.52,216.05,100.76,367.57,201.62,265.43,63.119,330.57,375.8,322.87,379.55,198.07,366.4,373.43,86.618,115.46,423.59,285.93,214.14,338.59,356.21,174.17,368.67,424.03,338.36,328.18,353.57,NaN,NaN,215.75,366.92,177.51,216.11,367.15,NaN,307.53,282.61,378.32,231.78,46.388,110.07,213.64,247.17,210.38,374.54,175.16,98.049,377.15,78.716,322.87,215.5,62.687,332.71,428.11,425.22,112.11,324.56,332.2,324.6,66.134,315.98,366.39,337.86,4.1215,418.4,260.18,52.725,242.15,99.651,NaN,117.56,175.24,336.46,240.74,423.62,7.0282,335.91,95.255,331.89,64.868,373.17,141.68,62.985,79.666,104.59,316.56,60.996,333.27,142.39,90.102,413.7,99.697,167.28,377.27,107.32,61.823,53.27,378.57,305.67,320.33,217.41,259.27,99.454,118.49,29.456,215.89,246.55,211.51,NaN,NaN,120.59,314.48,377.96,316.44,139.37,173.49,366.19,340.47,176.35,6.7598,32.703,102.23,66.426,13.835,31.504,141.98,52.735,425.77,99.565,120.31,99.668,105.65,63.067
7.1733,217.44,60.867,216.47,105.16,428.26,425.15,27.46,NaN,268.31,318.04,323.09,377.17,373.23,NaN,53.683,98.096,109.89,212.22,196.07,NaN,346.94,316.63,216.18,100.9,369.78,208.86,265.58,65.132,332.35,376.16,323.01,380.14,227.14,366.7,375.77,119.18,115.66,423.83,286.04,246.35,338.94,365.51,174.51,370.8,424.78,342.87,328.33,373.23,NaN,NaN,237.72,367.07,190.19,216.87,367.48,NaN,315.15,282.74,379.04,232.79,46.524,118.43,268.35,248.34,211.08,376.91,175.25,138.93,377.27,78.856,323.03,215.64,63.117,333.17,428.52,425.46,156.96,332.64,332.5,332.03,66.436,316.27,366.67,338.5,4.2601,418.6,275.74,52.917,242.95,99.813,NaN,117.69,175.39,336.82,244.21,423.83,7.1943,338.82,98.353,332.2,65.289,373.4,156.98,63.136,80.392,107.3,327.27,62.566,333.83,173.51,93.197,423.69,107.27,170.52,377.5,118.54,62.856,53.396,378.92,305.74,320.43,218.29,306.83,100.52,118.63,29.759,216.76,246.7,211.82,NaN,NaN,153.46,315.28,405.09,317.14,139.49,180.73,366.6,343.74,176.71,7.0014,32.828,121.36,94.488,14.366,33.172,142.13,53.188,NaN,109.39,120.42,109.5,106.13,64.368
7.3988,248.33,62.638,224.41,105.49,428.83,425.76,29.237,NaN,282.65,318.94,324.36,379.29,373.38,NaN,63.098,98.529,110.48,241.2,315.14,NaN,369.96,316.76,240.11,101.22,371.93,209.48,277.3,65.334,332.71,376.39,323.66,389.95,241.9,367.46,375.89,120.16,116.39,NaN,291.77,268.01,339.51,366.93,192.39,370.99,425.16,343.06,328.53,389.9,NaN,NaN,237.83,367.51,190.41,216.98,371.92,NaN,315.29,317.44,379.39,233.06,63.867,244.37,270.07,248.54,211.17,377.15,215.75,139.18,377.69,93.989,330.73,216.1,66.987,333.33,428.85,426.13,185.45,332.76,334,334.37,79.527,330.63,369.92,338.63,4.4418,423.96,283.49,53.365,243.24,102.06,NaN,140.29,208.14,338.03,244.34,424,8.5739,343.29,98.564,343.79,65.435,374.15,160.29,65.566,80.684,109.63,327.37,62.831,338.96,192.83,106.88,423.8,118.53,170.62,377.63,118.65,63.122,62.527,379.49,319.41,320.56,219.35,307.29,102.92,129.82,30.229,216.85,246.85,212.77,NaN,NaN,156.69,315.37,405.26,317.51,141.32,192.37,379.33,345.46,190.32,7.1972,51.796,123.53,98.23,14.858,34.637,146.9,53.326,NaN,109.86,141.51,110.23,120.19,93.468
8.1583,248.58,62.961,224.74,105.83,429.37,426.12,30.236,NaN,282.74,322.65,324.57,379.44,399.55,NaN,64.052,99.669,150.18,244.4,316.13,NaN,371.14,317.39,240.25,102.01,417.06,209.74,283.51,65.589,334.09,376.74,324.29,390.08,242.24,378.94,377.11,120.49,116.62,NaN,291.91,280.94,342.87,367.47,204.58,371.09,425.73,347.44,329.38,390.03,NaN,NaN,260.05,367.97,190.88,248.55,379.29,NaN,316.5,332.61,379.72,233.32,64.02,263.25,272.35,331.66,211.42,377.27,216.11,141.82,378.93,101.19,330.87,216.87,80.922,335.86,429.19,426.28,185.6,336.97,335.7,334.99,79.661,330.83,375,338.98,4.8014,424.23,294.43,53.501,263.26,105.25,NaN,140.42,209.65,355.36,268.04,424.12,10.406,343.44,99.663,345.22,85.536,374.31,169.14,65.771,94.567,115.18,338.57,62.987,339.54,215.68,107.33,423.92,118.65,172.17,378.71,130.16,64.591,63.097,421.85,319.76,320.7,222.84,315.27,107.18,129.95,30.726,229.17,248.2,212.91,NaN,NaN,156.81,330.84,405.95,327.14,157.39,192.49,380.54,354.29,197.72,7.3682,53.093,136.44,98.586,15.805,50.09,147.03,62.43,NaN,110.43,141.65,118.17,156.25,94.562
8.2363,249.15,63.123,268,107.29,NaN,426.82,30.937,NaN,293.44,323.21,325.6,380,403.45,NaN,64.33,100.03,150.79,282.5,316.44,NaN,371.91,328.91,246.6,102.27,417.53,210.07,300.65,69.847,334.61,376.96,324.56,425.5,252.68,379.17,377.3,120.72,116.92,NaN,292.27,281.07,343.04,373.23,205.83,381.14,425.89,359.17,329.51,390.27,NaN,NaN,260.18,368.09,191.96,249.37,380.36,NaN,316.65,338.17,379.99,236.11,64.336,263.31,272.7,331.88,215.34,377.69,263.14,175.05,379.29,101.33,334.36,216.98,90.603,337.2,NaN,426.43,185.94,337.14,335.88,335.59,95.233,331.11,377.86,340.37,5.0756,425.61,294.56,53.731,264.81,107.16,NaN,141.31,224.12,365.52,282.62,NaN,10.594,349.17,118.59,359.53,85.963,375.59,169.36,66.424,95.196,128.72,338.7,63.125,349.5,215.78,109.48,424.06,129.48,172.46,378.95,138.9,64.735,64.326,421.96,319.92,321.07,228.95,328.1,107.52,130.14,33.407,237.73,248.59,213.32,NaN,NaN,157.11,333.71,406.08,332.63,157.52,192.83,386.02,354.44,198.35,7.6358,57.325,137.01,99.693,16.001,62.733,152.78,62.562,NaN,110.58,141.81,118.3,161.71,94.716
8.3748,293.8,75.623,268.15,109.58,NaN,426.93,32.759,NaN,293.74,337.2,326.8,380.12,403.63,NaN,65.524,107.5,151.29,282.88,317.21,NaN,372.04,329.37,246.7,121.39,418.03,211.14,301.07,79.384,343.76,377.17,330.1,425.76,253.24,379.3,382.24,140.6,117.32,NaN,316.27,282.6,359.18,377.17,263.15,381.89,426.22,365.57,330.19,400.41,NaN,NaN,275.72,369.4,193.85,270.06,380.52,NaN,316.97,338.59,388.29,238.5,64.653,277.51,272.85,338.46,215.42,380.02,263.26,195.77,379.43,102.26,335.59,217.08,97.465,337.93,NaN,426.52,201.79,337.39,337.31,336.23,97.561,331.63,377.93,340.68,5.3709,425.72,294.74,54.224,264.95,107.26,NaN,141.47,224.28,366.42,293.44,NaN,10.698,351.16,156.76,360.9,86.685,375.83,169.49,67.458,97.027,133.36,342.9,74.236,350.51,216.44,109.69,424.26,129.82,183.68,379.57,139.25,93.322,64.688,424.23,429.59,321.4,232.3,332.1,109.34,156.84,37.059,237.82,248.71,215.84,NaN,NaN,157.81,334.07,410.3,338.56,192.39,197.96,386.13,365.53,198.98,9.2739,66.428,151.49,118.62,16.439,63.087,152.92,62.727,NaN,118.53,142.18,118.6,164.55,98.317
8.7016,306.54,76.25,282.53,109.89,NaN,NaN,35.797,NaN,317.14,337.34,326.91,381.29,405.24,NaN,65.782,109.4,151.49,283.19,318.1,NaN,373.19,330.17,246.84,121.51,NaN,211.41,302.73,79.532,354.83,377.33,330.74,428.25,254.19,379.44,386.05,140.89,120.42,NaN,376.9,283.84,369.96,377.3,263.25,382.13,426.69,366.28,330.7,415.01,NaN,NaN,293.6,370.3,197.31,293.78,381.49,NaN,317.11,341.74,388.44,239.94,64.918,277.63,273.5,339.84,215.59,380.14,282.47,195.99,380.03,109.86,336.4,249.38,109.89,338.04,NaN,426.8,265.65,342.87,338.43,336.49,99.555,332.1,422.06,341.26,5.5953,NaN,294.88,54.685,265.03,107.36,NaN,156.83,248.16,366.93,293.54,NaN,10.827,354.58,174.27,361.03,101.16,377.44,172.16,69.801,97.88,137.66,365.5,74.367,350.64,225.44,118.48,424.62,175.19,195.87,382.35,173.88,101.33,64.798,425.46,429.72,321.6,263.15,333.73,109.89,175.26,41.291,258.01,306.43,227.44,NaN,NaN,170.67,335.24,410.46,338.7,192.52,198.07,395.12,365.66,244.21,11.334,94.356,151.63,130.21,19.7,65.521,153.13,62.991,NaN,120.49,144.32,119.45,168.12,106.92
8.9239,315.33,77.204,283.19,132.91,NaN,NaN,36.27,NaN,317.75,337.87,327.21,382.13,421.76,NaN,66.516,109.62,151.63,283.48,319.06,NaN,377.89,331.99,247.16,123.35,NaN,215.52,316.77,80.918,354.97,378.16,330.87,428.66,272.96,380,389.25,141.28,120.52,NaN,377.06,285.92,371.14,379.3,265.8,382.67,427.42,366.4,331.16,416.66,NaN,NaN,293.8,376.33,199.61,301.14,394.69,NaN,317.26,342.42,401.82,259.48,76.786,282.87,273.74,343.34,316.2,382.34,282.64,210.17,380.14,109.99,336.83,264.91,118.15,339.37,NaN,426.89,292.31,342.97,339.06,336.83,106.89,333.26,422.66,341.37,5.743,NaN,295.26,54.796,315.06,109.56,NaN,205.64,248.34,367.47,306,NaN,11.895,356.72,176.18,365.4,101.95,377.69,173.09,73.624,98.251,137.78,366.22,75.729,353.24,241.8,118.65,424.73,188.02,195.97,388.68,174.15,103.65,70.503,426,431.83,323.09,263.25,334.2,110.01,184.15,41.395,260.05,331.71,267.67,NaN,NaN,173.81,336.5,417.08,339.76,209.75,215.77,403.49,373.21,244.35,11.498,95.231,163.14,155.12,22.387,94.624,170.61,63.131,NaN,127.29,184.12,120.42,168.24,108.95
9.0361,316.06,99.832,283.51,137.47,NaN,NaN,38.155,NaN,337.46,338.33,327.61,388.73,424.67,NaN,66.856,118.53,174.12,306.83,322.66,NaN,416.57,332.13,247.43,124.18,NaN,217.3,317.87,82.204,355.42,378.47,331.9,NaN,273.11,380.12,397.06,141.74,140.85,NaN,377.25,291.08,371.26,379.44,266.02,383.36,427.83,367.43,331.7,421.53,NaN,NaN,294.76,376.6,210.01,306.54,403.03,NaN,317.53,342.89,424.11,263.68,85.167,283.5,280.03,360.9,316.96,382.68,282.77,211.37,388.29,110.58,337.43,265.05,120.18,340,NaN,428.05,292.42,343.4,339.54,337.41,107.17,334.16,423.06,343.34,5.9366,NaN,307.86,55.764,332.63,111.26,NaN,209.88,282.64,368.53,307.13,NaN,13.628,358.36,215.61,365.59,119.47,378.06,210.04,74.057,98.363,139.92,366.36,76.627,354.27,242.29,127.2,425.39,190.18,199.64,389.59,175.21,103.93,79.496,426.13,431.97,324.47,319.41,334.36,118.13,184.46,50.923,260.18,331.88,267.78,NaN,NaN,190.38,337.44,417.2,340.56,211.37,237.72,404.35,373.43,282.67,11.764,97.528,164.64,174.28,25.087,94.725,175.25,63.321,NaN,128.06,184.44,120.49,173.71,110.46
9.16,316.19,99.968,284.36,148.08,NaN,NaN,39.925,NaN,338.51,338.56,327.77,388.96,425.52,NaN,67.505,120.18,174.22,316.29,322.96,NaN,417.17,332.43,248.57,135.81,NaN,280.94,327.97,83.417,373.17,378.76,334.36,NaN,275.87,381.1,399.75,142.28,149.45,NaN,377.68,291.78,373.19,380,268.16,397.31,428.18,373.34,333.12,423.32,NaN,NaN,315.13,377.85,210.15,307.51,404.79,NaN,317.67,343.76,425.35,264.15,85.954,306.9,283.58,361.24,317.3,383,316.4,215.57,388.43,111.69,338.53,268.21,120.28,373.73,NaN,428.67,364.59,343.53,339.75,362.21,109.52,336.6,423.36,343.76,6.4027,NaN,315.3,55.859,332.74,111.82,NaN,210.01,282.77,368.67,315.29,NaN,13.729,362.87,216.1,365.7,120.21,378.55,223.01,76.154,98.559,212.87,366.64,77.236,355.46,260.07,129.58,425.53,190.31,208.19,389.73,175.31,119.51,79.835,426.28,NaN,325.44,319.77,339.93,118.56,187.87,51.439,261.38,338.51,271.08,NaN,NaN,190.51,338.05,418.03,340.67,215.37,237.83,404.47,390.59,291.64,12.268,106.88,186.24,175.11,26.066,98.211,183.69,65.302,NaN,128.45,184.71,127.27,175.15,127.31
