NaN,60.132,53.461,17.996,48.988,56.422,79.856,36.439,17.627,29.967,64.799,NaN,90.956,35.63,49.023,72.526,99.494,NaN,80.896,87.632,NaN,NaN,80.955,53.701,NaN,48.052,NaN,66.9,78.554,NaN,54.167,48.325,9.4086,70.815,19.532,71.765,92.585,42.895,31.527,51.962,12.961,38.728,90.868,88.625,28.957,32.702,15.562,63.221,27.69,NaN,71.223,77.197,56.97,55.189,NaN,13.003,79.657,48.226,47.753,24.838,NaN,43.796,57.102,NaN,42.769,95.648,42.794,52.736,56.134,24.023,52.134,NaN,NaN,29.135,42.895,60.652,56.595,NaN,22.064,28.698,17.106,64.058,48.597,29.738,11.194,6.9682,28.489,NaN,6.672,13.364,49.456,84.899,14.838,48.496,26.255,8.5038,26.794,15.934,54.193,43.268,29.794,56.292,46.258,66.767,18.565,62.072,23.333,26.895,14.205,55.59,18.335,20.757,18.8,59.718,33.53,54.364,47.024,73.834,52.458,64.639,11.464,69.035,51.43,12.262,54.073,22.236,26.092,6.1086,55.82,35.364,12.892,71.695,36.661,27.464,11.937,9.9358,20.332,21.727,7.268
NaN,60.427,86.49,18.162,49.689,56.693,80.398,52.86,17.769,30.306,77.058,NaN,92.291,35.998,52.055,73.26,NaN,NaN,81.284,88.39,NaN,NaN,81.033,54.223,NaN,48.836,NaN,67.019,78.717,NaN,58.273,49.691,9.6253,72.195,19.709,71.929,92.735,43.028,31.898,55.027,13.974,39.239,96.856,95.832,29.133,32.855,15.676,64.524,27.93,NaN,72.194,78.02,59.191,80.302,NaN,13.761,79.899,48.86,50.594,38.667,NaN,44.057,57.593,NaN,43.024,NaN,42.89,53.752,56.266,24.291,62.402,NaN,NaN,29.362,46.66,64.967,58.797,NaN,42.763,28.832,32.157,64.325,54.395,35.103,15.658,7.2377,36.624,NaN,6.9591,13.491,50.393,85.626,14.971,48.852,28.03,8.6257,26.906,31.102,64.518,43.405,29.962,69.99,46.491,66.966,20.559,63.799,23.463,26.968,14.343,55.895,19.304,20.909,19.087,64.065,34.172,54.663,47.352,74.091,52.724,64.885,12.563,80.825,54.856,12.407,62.432,26.825,30.37,6.5935,59.662,43.673,14.268,73.166,37.359,31.286,12.065,10.029,24.061,28.24,7.362
NaN,60.798,96.097,18.393,51.969,56.901,81.162,54.466,35.766,30.896,77.395,NaN,96.328,36.202,62.434,73.462,NaN,NaN,82.493,88.623,NaN,NaN,88.502,54.926,NaN,62.735,NaN,68.229,NaN,NaN,58.795,50.071,57.564,72.299,19.932,72.217,93.226,43.166,32.626,55.464,14.834,39.387,97.429,99.402,29.699,33.17,25.29,79.685,29.701,NaN,72.33,78.549,60.481,90.793,NaN,14.268,80.198,49.773,51.085,38.923,NaN,44.403,58.133,NaN,43.858,NaN,47.301,54.266,59.562,25.929,62.752,NaN,NaN,29.523,49.364,65.086,59.056,NaN,42.964,28.932,32.26,64.6,54.628,35.537,15.755,7.3602,43.472,NaN,7.0691,17.161,55.303,NaN,15.695,49.432,28.462,9.0635,28.356,35.734,64.819,43.787,33.138,70.089,46.629,67.19,29.901,66.603,23.763,31.196,14.702,56.902,33.732,26.093,22.237,64.756,35.298,55.132,47.752,74.184,55.156,74.461,14.161,NaN,60.431,15.829,62.559,26.966,33.07,6.7345,60.884,44.42,14.805,73.435,38.762,31.44,12.237,10.493,24.205,29.035,8.101
NaN,61.035,96.46,23.563,53.29,57.025,82.535,62.388,36.629,46.995,81.794,NaN,NaN,37.341,62.661,73.769,NaN,NaN,82.628,92.416,NaN,NaN,88.666,55.223,NaN,63.592,NaN,70.12,NaN,NaN,60.694,50.193,57.722,78.288,32.896,72.466,93.352,44.126,33.025,56.025,15.203,40.425,97.89,NaN,31.67,34.258,25.401,81.825,47.337,NaN,72.396,NaN,61.204,98.626,NaN,14.675,82.86,51.189,55.722,40.524,NaN,54.938,62.292,NaN,44.354,NaN,52.697,54.755,60.627,26.369,66.73,NaN,NaN,31.102,51.63,72.469,62.418,NaN,43.334,33.663,34.067,66.124,54.922,35.889,18.5,8.0594,43.955,NaN,7.5326,17.271,55.425,NaN,16.866,49.766,32.305,17.835,29.095,36.364,66.931,45.253,46.528,77.689,47.594,69.994,30.233,72.117,23.991,31.438,15.257,60.15,41.499,35.16,22.339,64.856,39.45,62.003,48.798,77.323,55.433,74.658,14.595,NaN,60.524,15.929,64.029,27.439,34.173,7.3331,64.026,44.526,16.307,74.804,38.963,43.756,12.496,10.629,24.636,29.159,8.2313
NaN,70.261,97.291,24.863,53.568,74.538,88.183,62.497,37.47,47.296,83.663,NaN,NaN,39.562,67.053,75.868,NaN,NaN,85.83,92.618,NaN,NaN,88.789,65.038,NaN,63.952,NaN,70.757,NaN,NaN,66.363,51.705,57.994,78.882,34.134,74.826,96.114,46.029,33.363,56.127,15.57,41.252,NaN,NaN,38.888,37.272,26.538,89.522,47.432,NaN,72.564,NaN,61.426,98.88,NaN,15.736,83.26,53.926,56.12,40.86,NaN,57.728,62.659,NaN,45.299,NaN,54.594,55.024,60.858,29.404,70.714,NaN,NaN,31.497,59.129,72.723,62.818,NaN,47.452,36.689,34.187,69.986,55.032,42.327,19.333,8.2038,45.835,NaN,8.6414,20.126,78.126,NaN,17.064,50.035,39.6,18.069,31.301,43.732,69.485,46.761,47.223,87.551,47.934,70.592,30.672,77.728,24.295,32.836,15.959,66.49,41.617,36.024,22.526,65.899,42.427,62.393,57.087,83.226,62.735,74.793,14.93,NaN,68.568,28.96,65.933,28.894,34.302,7.4367,64.164,51.355,16.393,74.928,39.203,46.926,14.159,11.173,27.498,30.564,15.161
NaN,70.389,97.534,25.398,54.03,74.762,90.254,63.397,37.625,47.828,90.787,NaN,NaN,39.766,67.396,82.72,NaN,NaN,92.558,93.282,NaN,NaN,NaN,66.631,NaN,66.254,NaN,71.022,NaN,NaN,67.884,51.988,58.587,82.863,48.988,74.896,NaN,69.764,35.956,56.601,16.391,41.407,NaN,NaN,39.096,37.369,28.863,91.313,53.087,NaN,75.028,NaN,61.651,99.384,NaN,16.498,92.625,55.036,58.424,41.087,NaN,58.286,65.554,NaN,45.796,NaN,55.086,56.688,66.453,29.568,74.16,NaN,NaN,35.766,59.333,75.948,62.937,NaN,49.859,46.498,36.654,70.158,55.318,42.73,21.474,9.5273,47.138,NaN,9.3325,28.901,78.389,NaN,30.258,50.123,39.964,18.997,45.395,43.926,76.159,47.433,47.99,88.115,48.097,74.09,33.229,NaN,24.628,38.905,16.26,74.017,42.203,38.426,23.021,70.618,42.821,65.894,57.215,83.391,64.496,89.026,15.464,NaN,71.003,29.029,66.096,31.268,35.291,8.4323,64.299,51.459,17.6,86.451,42.734,47.502,19.429,11.361,30.87,32.305,15.658
NaN,71.167,98.126,25.636,54.329,75.632,90.701,64.401,38.298,52.534,90.923,NaN,NaN,40.395,70.332,NaN,NaN,NaN,NaN,95.035,NaN,NaN,NaN,66.722,NaN,73.394,NaN,NaN,NaN,NaN,68.256,54.361,58.73,83.226,49.422,75.071,NaN,71.164,42.866,57.195,16.854,41.561,NaN,NaN,39.958,43.86,29.069,92.387,53.22,NaN,75.335,NaN,62.957,99.519,NaN,17.029,99.448,56.001,58.784,42.324,NaN,72.865,79.793,NaN,52.227,NaN,60.596,65.384,66.82,38.099,74.425,NaN,NaN,43.793,59.454,78.159,70.125,NaN,54.539,46.871,36.792,77.658,55.659,43.369,22.761,9.8092,48.72,NaN,9.7314,31.739,82.7,NaN,30.363,50.364,40.161,36.067,45.799,52.625,76.929,51.058,52.885,92.524,48.189,76.07,38.825,NaN,25.194,42.694,17.376,74.285,43.868,41.923,23.425,70.819,43.034,66.093,59.996,83.66,64.619,NaN,15.692,NaN,86.453,29.694,66.565,32.834,35.733,11.406,65.762,54.698,23.765,86.692,43.222,47.737,20.723,11.689,30.992,32.43,16.059
NaN,71.42,98.232,25.92,64.66,76.988,92.559,75.997,38.738,52.984,91.055,NaN,NaN,62.695,70.728,NaN,NaN,NaN,NaN,95.223,NaN,NaN,NaN,76.39,NaN,73.65,NaN,NaN,NaN,NaN,74.258,55.191,59.283,89.29,49.785,75.231,NaN,71.798,74.464,57.366,17.9,41.704,NaN,NaN,41.753,44.091,30.797,92.652,63.568,NaN,78.16,NaN,68.903,NaN,NaN,17.262,NaN,56.131,59.557,43.058,NaN,76.298,NaN,NaN,52.388,NaN,61.091,65.585,77.057,38.396,74.498,NaN,NaN,44.189,59.634,78.285,70.768,NaN,65.957,47.392,37.361,77.79,56.123,43.792,26.124,10.792,55.821,NaN,11.058,33.126,85.881,NaN,44.162,52.126,42.758,36.198,47.194,52.722,77.126,64.325,53.234,NaN,49.654,76.416,38.968,NaN,25.436,43.466,20.194,74.532,44.398,42.071,24.636,71.498,43.468,66.495,61.197,92.393,77.38,NaN,27.363,NaN,89.996,30.996,66.683,35.462,35.826,11.5,66.019,61.996,26.996,86.823,44.698,48.234,20.858,11.834,32.06,33.67,18.34
NaN,71.829,98.951,26.14,64.794,77.199,92.695,77.27,39.255,54.267,91.217,NaN,NaN,63.571,72.131,NaN,NaN,NaN,NaN,95.481,NaN,NaN,NaN,81.362,NaN,74.122,NaN,NaN,NaN,NaN,74.46,64.652,59.46,89.496,49.955,75.551,NaN,87.124,83.19,57.487,18.16,42.217,NaN,NaN,41.928,44.358,32.659,NaN,63.754,NaN,79.55,NaN,71.366,NaN,NaN,19.126,NaN,59.53,63.326,43.199,NaN,76.428,NaN,NaN,54.322,NaN,62.255,66.984,80.485,38.756,74.926,NaN,NaN,44.324,60.262,78.868,73.928,NaN,66.095,47.537,38.898,78.716,56.966,44.228,26.269,11.032,56.327,NaN,12.025,35.354,86.72,NaN,44.588,69.591,43.092,47.394,48.084,54.792,77.995,64.9,55.264,NaN,49.963,78.655,48.929,NaN,25.803,47.199,20.764,88.227,47.14,43.392,25.467,74.923,45.288,67.059,61.853,92.498,83.659,NaN,27.497,NaN,94.852,31.133,76.359,54.236,38.068,15.334,70.053,62.567,27.364,90.86,46.194,50.963,21.76,12.394,35.759,34.197,19.234
NaN,78.127,NaN,26.263,67.095,89.024,98.815,77.847,39.434,55.887,99.649,NaN,NaN,63.727,72.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.02,NaN,NaN,NaN,NaN,NaN,NaN,77.135,64.801,61.569,90.781,50.665,76.057,NaN,87.754,83.794,57.69,18.371,42.493,NaN,NaN,43.571,57.661,35.392,NaN,71.618,NaN,83.883,NaN,76.638,NaN,NaN,21.472,NaN,59.958,64.088,43.459,NaN,76.834,NaN,NaN,74.488,NaN,62.752,67.486,80.717,38.929,76.058,NaN,NaN,44.601,60.531,79.584,74.801,NaN,69.926,47.699,41.024,78.892,77.464,44.731,42.529,13.211,61.163,NaN,12.102,38.487,86.833,NaN,44.725,NaN,46.003,49.261,48.334,55.088,78.393,66.12,55.465,NaN,50.761,80.954,49.07,NaN,26.134,47.352,20.894,88.757,48.763,43.832,28.401,75.467,46.023,67.963,62.022,92.829,92.595,NaN,28.729,NaN,NaN,31.529,76.454,54.566,38.635,15.47,70.453,65.92,33.394,90.982,49.655,52.26,22.667,12.495,36.366,34.301,20.575
