40.235,12.338,32.664,11.404,13.806,24.691,14.061,24.927,11.868,31.334,13.165,11.062,10.421,20.836,50.684,12.366,48.394,10.833,22.5,32.731,11.777,39.971,32.858,11.075,22.292,32.841,14.525,27.335,43.86,5.9038,9.9896,16.51,8.3632,13.227,20.994,37.595,11.867,20.735,18.243,9.5012,10.642,38.367,11.168,10.002,7.6034,16.929,12.699,12.131,16.453,14.753,11.667,5.9354,20.771,21.406,16.993,72.567,7.0676,6.5982,6.9399,28.454,21.106,7.3097,20.827,16.524,11.622,14.96,6.9046,8.8274,14.368,41.072,25.894,17.528,14.176,21.669
40.428,13.691,32.801,11.768,14.52,26.37,14.405,25.778,12.104,31.439,13.294,11.871,10.978,20.972,52.485,12.776,50.238,11.136,23.472,32.842,17.554,40.826,44.684,12.097,22.662,36.226,14.638,31.387,45.896,6.1355,10.504,17.666,9.2929,14.331,21.729,46.261,12.203,21.261,18.366,10.93,16.039,39.002,11.842,12.734,8.6715,17.097,12.826,14.39,16.907,14.893,12.13,6.1361,21.235,22.574,21.222,78.05,7.5008,6.796,7.4369,28.67,25.663,7.4077,23.606,17.029,12.23,17.46,10.177,9.4334,14.667,43.401,27.229,21.231,15.206,22.101
40.74,14.065,78.928,12.305,16.961,29.659,14.542,32.723,12.793,32.728,13.498,11.99,12.332,25.825,59.296,13.694,51.727,11.36,24.001,37.81,18.325,45.528,44.79,13.724,24.762,36.335,16.992,31.489,46.15,7.3941,10.74,18.331,9.3881,20.063,22.569,66.332,13.841,21.408,19.003,11.076,16.509,40.236,12.074,13.367,9.0671,22.241,12.93,15.321,19.768,16.403,12.393,6.5287,22.104,22.732,22.525,78.933,7.9293,7.4981,8.2276,29.831,25.899,8.2998,23.702,17.136,13.131,22.537,13.424,12.125,16.398,43.593,28.551,21.367,15.824,23.499
41.356,14.411,78.995,12.777,17.195,29.762,39.121,32.839,12.995,42.775,14.064,14.402,12.439,32.721,70.754,14.425,53.295,11.526,24.136,37.928,20.4,45.672,60.435,14.597,26.463,39.472,17.162,34.003,46.302,7.49,10.873,20.666,9.5315,20.24,24.63,68.195,19.006,25.13,19.252,11.995,16.607,44.765,12.561,13.562,9.4009,23.19,13.604,17.129,22.527,16.521,12.829,6.6702,22.82,23.735,23.907,87.23,8.4872,7.6293,8.3279,31.224,34.259,10.63,24.803,19.69,13.6,25.686,13.597,14.954,20.553,43.795,29.694,22.528,18.094,23.663
41.531,14.542,87.22,13.16,17.728,35.538,45.329,37.761,14.406,42.896,14.159,14.543,14.471,32.84,73.834,14.538,53.398,11.765,24.439,42.761,21.242,50.123,64.035,16.203,29.569,42.655,17.287,34.17,47.253,7.6247,11.143,20.766,9.7256,20.626,25.089,77.271,19.124,38.266,21.204,12.14,19.767,44.903,13.124,16.433,9.4984,23.805,13.726,17.734,22.631,17.384,12.978,7.3945,24.831,23.921,24.834,87.291,9.1678,8.0586,9.5241,31.366,34.358,11.131,25.837,21.068,20.41,25.831,19.169,16.237,21.575,44.636,30.852,23.555,21.098,24.225
41.822,NaN,87.337,13.873,18.059,35.641,45.467,42.767,14.531,48.887,14.396,NaN,16.362,37.82,77.153,15.033,59.762,12.101,25.842,42.868,21.339,51.852,64.133,17.789,30.771,42.828,17.788,38.37,49.954,8.1343,11.276,25.838,10.897,21.297,25.205,77.394,19.696,38.766,22.555,15.508,21.126,46.397,13.3,16.799,9.7243,23.939,14.626,19.47,23.838,17.508,13.233,7.6755,26.44,25.939,26.988,NaN,9.431,9.2398,9.795,34.523,36.161,11.263,25.934,21.257,22.098,25.937,19.291,18.229,22.662,46.264,30.972,23.689,21.664,28.567
43.467,NaN,NaN,14.409,18.23,38.968,61.392,42.862,15.038,51.1,14.539,NaN,18.288,39.934,79.783,23.531,60.472,12.335,25.971,43.601,24.362,52.061,64.438,17.902,32.159,43.568,17.941,38.495,50.159,8.7963,11.59,26.001,11.123,21.819,25.891,78.922,21.306,38.92,22.654,16.633,22.47,46.519,13.433,18.354,10.825,26.956,14.896,20.765,24.565,17.654,13.434,7.8011,26.56,26.054,28.33,NaN,9.8858,9.4999,11.026,34.669,36.317,12.225,28.971,22.532,23.669,26.636,20.395,20.743,23.434,46.599,36.258,24.628,22.489,30.833
45.327,NaN,NaN,14.538,18.338,39.067,61.564,43.584,15.176,53.127,20.77,NaN,18.402,40.064,80.237,26.287,70.287,13.105,27.336,43.691,25.832,52.3,64.56,20.742,32.296,44.685,18.6,38.974,50.495,9.0618,11.854,26.376,11.899,22.173,26.432,87.206,21.568,39.867,22.907,17.038,22.936,47.731,14.409,19.676,11.765,29.59,19.84,20.972,24.831,17.798,13.561,7.9568,29.517,26.631,28.4,NaN,10.635,11.987,17.036,35.495,39.365,12.706,32.724,23.801,24.197,27.667,22.558,21.033,25.106,47.995,36.357,24.97,23.824,31.83
46.331,NaN,NaN,15.042,19.098,44.827,64.666,43.689,20.374,59.039,20.974,NaN,20.337,47.585,80.783,30.093,78.929,13.5,30.661,44.683,26.126,58.326,70.082,20.865,32.728,47.628,18.707,39.892,50.587,9.174,12.6,29.057,12.134,22.621,28.859,87.329,25.425,40.002,23.809,21.166,28.522,49.566,14.541,19.898,13.565,29.694,20.068,21.363,24.938,17.958,14.53,8.7897,34.068,27.291,32.729,NaN,10.727,12.972,17.234,35.623,39.492,12.833,44.573,24.161,24.469,28.097,22.691,21.396,25.905,48.09,38.8,25.224,24.592,31.975
47.195,NaN,NaN,15.173,20.431,44.954,64.798,44.583,21.487,61.127,21.236,NaN,20.474,47.891,80.885,32.829,79.034,13.933,34.337,44.784,26.399,59.83,70.197,20.992,34.019,47.761,18.833,40.253,50.759,9.3233,12.768,29.641,13.566,22.923,30.769,NaN,25.99,44.569,24.806,22.229,28.897,49.664,18.294,22.504,19.699,40.065,21.21,21.601,26.972,20.494,16.122,9.1366,34.236,27.394,35.632,NaN,11.66,13.394,17.499,36.663,40.507,13.455,48.873,24.233,24.926,29.592,23.798,22.173,26.756,50.492,38.927,25.732,24.965,39.294
