99.713,103.12,NaN,NaN,129.92,124.42,NaN,NaN,23.626,23.228,23.53,NaN,118.92,107.26,NaN,NaN,100.32,NaN,131.01,NaN,117.08,NaN,21.462,NaN,NaN,107.27,NaN,NaN,112.36,NaN,NaN,90.487,77.185,107.28,95.527,NaN,98.685,97.979,95.225,NaN,23.995,NaN,118.65,30.198,52.584,79.066,128.26,NaN,44.627,NaN,NaN,44.365,35.325,23.87,33.488,100.13,NaN,94.592,106.28,NaN,NaN,65.566,57.049,NaN,33.799,104.45,45.997,50.064,94.616,NaN,29.068,NaN,45.152,NaN,46.196,19.197,24.769,53.463,47.758,78.989,NaN,42.423,30.859,72.656,78.761,76.297,69.355,21.039,15.499,51.764,31.336,69.354,26.355
100.05,106.59,NaN,NaN,131.52,129.65,NaN,NaN,48.865,46.69,23.961,NaN,119.06,109.32,NaN,NaN,112.09,NaN,NaN,NaN,117.29,NaN,23.171,NaN,NaN,NaN,NaN,NaN,127.16,NaN,NaN,90.619,77.285,113.11,96.118,NaN,116.56,98.147,100.7,NaN,32.536,NaN,121.25,30.492,54.325,79.566,128.53,NaN,44.869,NaN,NaN,45.472,35.951,24.219,46.434,100.38,NaN,96.095,112.39,NaN,NaN,65.669,57.187,NaN,34.364,116.36,54.335,50.438,94.823,NaN,29.529,NaN,45.271,NaN,47.195,19.766,25.041,58.123,49.96,90.458,NaN,43.506,31.992,73.164,84.319,99.216,84.348,23.362,16.085,57.861,31.597,72.664,48.304
102.32,107.42,NaN,NaN,NaN,129.89,NaN,NaN,49.029,46.961,47.287,NaN,119.19,111.98,NaN,NaN,112.75,NaN,NaN,NaN,126.59,NaN,28.767,NaN,NaN,NaN,NaN,NaN,128.5,NaN,NaN,99.453,119.32,113.33,102.39,NaN,116.79,111.05,112.01,NaN,45.335,NaN,121.42,30.605,54.494,79.868,NaN,NaN,45.685,NaN,NaN,48.084,39.703,34.331,46.821,106.75,NaN,96.297,NaN,NaN,NaN,82.323,58.16,NaN,51.971,116.78,55.199,57.352,94.956,NaN,29.695,NaN,45.636,NaN,67.657,20.04,38.494,58.267,50.12,92.724,NaN,43.894,34.393,77.289,84.514,104.49,84.492,38.357,16.239,69.126,31.74,72.83,55
102.46,107.62,NaN,NaN,NaN,NaN,NaN,NaN,76.567,118.79,47.696,NaN,NaN,NaN,NaN,NaN,131.47,NaN,NaN,NaN,NaN,NaN,29.434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.534,120.88,115.13,112.23,NaN,118.15,NaN,NaN,NaN,70.458,NaN,131.82,30.875,54.595,82.663,NaN,NaN,45.829,NaN,NaN,50.155,39.832,44.035,46.967,106.83,NaN,99.547,NaN,NaN,NaN,83.463,59.307,NaN,52.495,117.32,57.19,58.117,96.123,NaN,29.898,NaN,52.034,NaN,80.157,20.632,38.722,65.554,71.234,93.029,NaN,50.992,36.071,84.794,91.8,104.73,86.521,38.473,16.888,69.356,33.562,76.187,57.194
114.68,108.55,NaN,NaN,NaN,NaN,NaN,NaN,86.732,119.19,85.923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.75,125.56,116.6,113.3,NaN,118.36,NaN,NaN,NaN,70.897,NaN,NaN,31.201,65.837,83.022,NaN,NaN,64.584,NaN,NaN,55.62,46.351,68.57,47.096,119.38,NaN,111.25,NaN,NaN,NaN,83.619,59.562,NaN,56.372,NaN,59.269,65.955,96.3,NaN,30.428,NaN,52.149,NaN,86.161,21.636,46.731,65.691,71.334,95.149,NaN,52.92,45.026,84.964,94.561,104.9,86.654,48.992,16.976,75.764,37.77,84.794,58.635
115.13,109.99,NaN,NaN,NaN,NaN,NaN,NaN,86.949,NaN,86.414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106.31,125.99,116.81,113.68,NaN,118.6,NaN,NaN,NaN,71.154,NaN,NaN,35.899,66.285,83.798,NaN,NaN,92.181,NaN,NaN,65.925,50.391,68.928,91.63,119.96,NaN,111.52,NaN,NaN,NaN,104.09,60.292,NaN,56.505,NaN,66.228,66.165,96.597,NaN,30.765,NaN,54.458,NaN,96.867,21.87,48.259,68.416,77.868,96.253,NaN,60.62,45.189,85.528,96.301,124.69,90.458,50.529,18.027,80.066,38.003,85.094,58.996
126.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.423,NaN,86.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111.39,NaN,117.11,117.29,NaN,118.75,NaN,NaN,NaN,71.391,NaN,NaN,36.1,68.435,84.025,NaN,NaN,93.017,NaN,NaN,66.099,52.896,75.285,98.993,120.25,NaN,112.01,NaN,NaN,NaN,NaN,64.19,NaN,59.991,NaN,78.786,77.765,99.26,NaN,35.829,NaN,66.12,NaN,97.522,22.462,54.827,68.528,85.79,96.561,NaN,63.616,48.042,85.633,96.492,124.85,96.35,54.829,19.633,85.935,38.326,87.031,60.638
126.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.523,NaN,95.747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111.76,NaN,126.25,117.52,NaN,126.41,NaN,NaN,NaN,71.523,NaN,NaN,36.233,72.318,100.42,NaN,NaN,93.161,NaN,NaN,66.292,58.831,78.019,100.16,120.58,NaN,112.17,NaN,NaN,NaN,NaN,66.803,NaN,60.298,NaN,80.519,90.482,100.13,NaN,36.03,NaN,66.357,NaN,98.083,22.706,66.293,72.657,95.818,98.688,NaN,63.754,48.328,99.99,96.627,125.45,96.553,54.955,22.566,95.46,38.391,94.823,60.797
128.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.857,NaN,96.321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,112.03,NaN,126.48,118.48,NaN,128.1,NaN,NaN,NaN,83.883,NaN,NaN,51.219,76.286,100.76,NaN,NaN,93.295,NaN,NaN,72.186,60.523,97.951,100.59,121.22,NaN,116.48,NaN,NaN,NaN,NaN,67.027,NaN,60.585,NaN,85.501,90.581,121.08,NaN,51.258,NaN,71,NaN,98.333,26.67,66.532,72.797,105.09,105.21,NaN,77.719,51.123,104.52,99.226,125.72,120.83,55.622,23.037,97.033,39.239,94.955,66.834
128.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.062,NaN,117.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,112.18,NaN,126.63,126.38,NaN,128.28,NaN,NaN,NaN,84.782,NaN,NaN,54.788,76.603,112.26,NaN,NaN,94.6,NaN,NaN,72.764,60.833,104.88,101.46,121.76,NaN,116.68,NaN,NaN,NaN,NaN,71.194,NaN,60.866,NaN,85.685,92.836,121.49,NaN,51.404,NaN,71.227,NaN,98.46,30.268,70.526,73.117,116.96,105.76,NaN,79.349,53.796,104.7,104.8,125.97,121.19,56.096,23.662,97.248,42.166,104.45,77.603
