41.933,60.294,52.559,45.195,15.568,81.521,25.104,23.764,31.67,16.591,39.085,53.516,74.295,92.957,NaN,21.991,42.873,92.431,14.824,93.198,NaN,37.675,37.754,31.22,26.431,92.784,15.072,44.294,63.233,74.626,42.869,26.473,21.39,16.1,24.258,71.798,89.455,77.387,77.369,34.706,25.932,67.391,27.932,NaN,14.906,NaN,70.024,26.465,86.618,69.123,25.807,30.854,23.832,80.894,20.401,14.436,32.169,77.359,67.351,16.567,69.124,41.423
60.074,60.436,78.226,45.719,16.724,82.782,25.751,26.368,32.898,17.777,39.201,56.904,74.49,NaN,NaN,22.405,46.957,93.001,14.901,93.385,NaN,49.539,38.638,31.365,27.291,93.968,17.874,44.799,68.8,74.725,50.164,26.565,21.743,16.235,25.306,74.086,89.697,77.653,79.766,35.731,26.197,67.528,28.062,NaN,15.599,NaN,71.051,26.669,87.69,71.914,27.931,32.156,24.853,81.562,20.563,14.535,32.53,82.428,69.657,16.957,72.728,41.571
60.788,61.268,83.419,46.06,16.837,82.959,30.206,33.36,42.699,17.91,41.506,60.638,75.9,NaN,NaN,22.566,65.365,94.002,15.639,93.495,NaN,72.733,39.172,32.251,27.72,NaN,17.997,44.938,68.86,74.829,69.697,26.958,22.022,17.007,25.598,74.496,90.054,77.783,81.786,39.762,26.666,71.436,29.096,NaN,16.63,NaN,71.927,27.897,89.284,74.022,29.856,33.664,28.039,83.985,20.74,14.936,33.433,82.533,69.766,17.764,74.6,42.064
63.15,62.264,85.295,46.888,17.924,83.261,32.573,33.469,42.87,18.179,41.633,60.759,79.02,NaN,NaN,24.928,69.585,94.15,16.437,NaN,NaN,72.992,39.356,33.297,27.995,NaN,18.735,45.363,72.768,75.696,74.22,27.596,22.895,17.371,25.702,75.065,91.131,77.894,81.966,46.061,27.094,73.783,29.195,NaN,16.899,NaN,72.064,30.229,90.278,75.688,30.503,33.797,29.409,NaN,21.073,15.537,34.627,83.821,71.715,18.001,74.722,46.927
64.454,63.07,88.794,47.156,19.966,83.563,80.217,34.098,49.658,20.154,41.904,67.253,79.594,NaN,NaN,25.864,70.359,94.435,17.788,NaN,NaN,73.2,41.586,33.438,28.099,NaN,19.128,45.57,72.97,75.917,74.532,28.039,23.94,18.837,25.841,76.268,93.397,79.203,83.964,49.966,27.303,73.903,30.521,NaN,17.89,NaN,73.63,30.292,91.423,76.301,30.593,36.305,30.387,NaN,21.236,15.766,34.695,87.516,74.555,19.293,77.914,52.562
65.985,64.857,89.319,47.356,22.358,84.088,80.291,36.925,52.198,20.268,45.172,73.737,80.698,NaN,NaN,26.235,70.498,94.551,18.795,NaN,NaN,75.696,41.735,33.972,28.468,NaN,20.433,46.191,73.733,76.531,75.315,28.96,24.331,20.691,26.494,78.551,NaN,79.464,84.027,50.096,27.504,74.616,33.367,NaN,17.993,NaN,74.617,31.131,92.112,76.43,31.267,42.926,30.531,NaN,21.364,16.259,35.674,89.233,76.325,19.373,78.653,59.654
66.361,65.606,89.882,48.23,22.46,88.797,83.433,37.224,52.297,20.724,45.26,75.86,81.366,NaN,NaN,27.291,74.593,NaN,19.362,NaN,NaN,75.859,41.986,34.228,28.703,NaN,21.19,48.42,74.386,76.859,75.897,29.096,24.961,21.196,26.695,79.652,NaN,79.7,87.36,54.994,28.121,75.659,33.828,NaN,18.597,NaN,74.787,32.89,92.249,77.388,32.621,45.127,32.589,NaN,21.697,16.6,37.167,92.399,77.83,21.023,80.024,60.359
67.471,67.486,90.361,48.659,23.154,88.923,85.07,42.725,55.007,21.002,46.931,77.425,81.795,NaN,NaN,27.487,74.724,NaN,19.824,NaN,NaN,76.168,59.997,60.521,29.667,NaN,23.122,48.583,76.232,77.899,77.057,30.459,25.901,21.366,27.665,81.256,NaN,80.588,89.424,55.166,28.667,75.834,34.224,NaN,18.797,NaN,75.736,33.037,92.626,82.453,33.852,50.1,32.904,NaN,24.472,16.924,37.292,92.529,77.922,22.804,80.185,60.526
69.069,68.631,91.265,48.901,23.291,89.081,92.392,47.005,55.095,21.261,49.284,77.558,82.136,NaN,NaN,27.869,75.683,NaN,19.93,NaN,NaN,77.89,60.333,61.361,29.958,NaN,24.069,50.063,76.358,78.557,77.927,30.835,28.042,21.764,29.165,81.391,NaN,80.79,92.089,56.7,28.795,76.295,34.337,NaN,20.151,NaN,76.271,34.16,92.938,82.591,35.664,50.235,32.999,NaN,25.364,18.603,38.926,92.988,79.559,23.136,80.419,64.859
69.561,84.72,91.949,49.357,24.295,92.411,NaN,47.133,56.906,24.427,52.869,77.885,82.461,NaN,NaN,27.996,75.759,NaN,20.367,NaN,NaN,79.76,60.834,62.329,30.24,NaN,25.828,51.026,77.802,79.054,78.525,30.968,28.172,21.998,29.436,81.736,NaN,81.35,92.247,72.528,29.203,76.432,35.464,NaN,21.067,NaN,76.433,34.633,NaN,83.617,36.332,57.402,40.27,NaN,25.699,19.604,41.034,93.318,79.689,23.473,80.565,64.998
